
LISTA DE ATOMI:
program 1 19 1 
at02 0 -1 1 
; 4 0 1 
const 1 4 2 
i 0 -1 3 
= 3 13 3 
7 2 0 3 
; 4 0 3 
var 1 24 4 
a 0 -1 5 
, 4 2 5 
b 0 -1 5 
, 4 2 5 
c 0 -1 5 
: 4 3 5 
real 1 20 5 
; 4 0 5 
ch 0 -1 6 
: 4 3 6 
char 1 3 6 
; 4 0 6 
function 1 11 7 
f 0 -1 7 
( 3 4 7 
var 1 24 7 
a 0 -1 7 
, 4 2 7 
b 0 -1 7 
, 4 2 7 
c 0 -1 7 
: 4 3 7 
real 1 20 7 
) 3 5 7 
: 4 3 7 
integer 1 13 7 
; 4 0 7 
function 1 11 9 
f1 0 -1 9 
( 3 4 9 
i 0 -1 9 
: 4 3 9 
integer 1 13 9 
) 3 5 9 
: 4 3 9 
real 1 20 9 
; 4 0 9 
var 1 24 10 
i 0 -1 11 
: 4 3 11 
real 1 20 11 
; 4 0 11 
begin 1 1 12 
a 0 -1 13 
:= 3 14 13 
a 0 -1 13 
+ 3 0 13 
i 0 -1 13 
; 4 0 13 
i 0 -1 14 
:= 3 14 14 
i2 0 -1 14 
; 4 0 14 
f1 0 -1 15 
:= 3 14 15 
ch 0 -1 15 
; 4 0 15 
end 1 9 16 
; 4 0 16 
function 1 11 18 
f2 0 -1 18 
: 4 3 18 
char 1 3 18 
; 4 0 18 
begin 1 1 19 
f2 0 -1 20 
:= 3 14 20 
'X' 6 1 20 
; 4 0 20 
f 0 -1 21 
:= 3 14 21 
7 2 2 21 
; 4 0 21 
end 1 9 22 
; 4 0 22 
begin 1 1 24 
a 0 -1 25 
( 3 4 25 
a 0 -1 25 
+ 3 0 25 
f2 0 -1 25 
, 4 2 25 
b 0 -1 25 
+ 3 0 25 
f 0 -1 25 
, 4 2 25 
c 0 -1 25 
+ 3 0 25 
i 0 -1 25 
) 3 5 25 
; 4 0 25 
f 0 -1 26 
( 3 4 26 
1 2 3 26 
, 4 2 26 
2 2 4 26 
, 4 2 26 
3 2 5 26 
, 4 2 26 
4 2 6 26 
) 3 5 26 
; 4 0 26 
f1 0 -1 27 
( 3 4 27 
i 0 -1 27 
/ 3 3 27 
0.8 2 7 27 
) 3 5 27 
; 4 0 27 
end 1 9 28 
; 4 0 28 
procedure 1 18 30 
p 0 -1 30 
; 4 0 30 
var 1 24 31 
x 0 -1 31 
, 4 2 31 
y 0 -1 31 
, 4 2 31 
z 0 -1 31 
: 4 3 31 
integer 1 13 31 
; 4 0 31 
procedure 1 18 33 
p1 0 -1 33 
; 4 0 33 
var 1 24 34 
x 0 -1 34 
, 4 2 34 
y 0 -1 34 
, 4 2 34 
z 0 -1 34 
: 4 3 34 
integer 1 13 34 
; 4 0 34 
begin 1 1 35 
p 0 -1 36 
; 4 0 36 
p1 0 -1 37 
; 4 0 37 
x 0 -1 38 
:= 3 14 38 
y 0 -1 38 
+ 3 0 38 
z 0 -1 38 
+ 3 0 38 
p1 0 -1 38 
; 4 0 38 
end 1 9 39 
; 4 0 39 
begin 1 1 41 
p1 0 -1 42 
; 4 0 42 
y 0 -1 43 
:= 3 14 43 
x 0 -1 43 
+ 3 0 43 
z 0 -1 43 
; 4 0 43 
end 1 9 44 
; 4 0 44 
begin 1 1 46 
p 0 -1 47 
; 4 0 47 
p1 0 -1 47 
; 4 0 47 
f 0 -1 47 
; 4 0 47 
f1 0 -1 47 
; 4 0 47 
end 1 9 48 

Tabela de constante
 1 7.000000
 3 88.000000
 1 7.000000
 1 1.000000
 1 2.000000
 1 3.000000
 1 4.000000
 2 0.800000
