
LISTA DE ATOMI:
program 1 19 1 
p1 0 -1 1 
; 4 0 1 
const 1 4 3 
x 0 -1 3 
= 3 13 3 
23 2 0 3 
+ 3 0 3 
7 2 1 3 
; 4 0 3 
y 0 -1 4 
= 3 13 4 
x 0 -1 4 
+ 3 0 4 
12 2 2 4 
; 4 0 4 
var 1 24 6 
a 0 -1 6 
, 4 2 6 
b 0 -1 6 
, 4 2 6 
c 0 -1 6 
: 4 3 6 
integer 1 13 6 
; 4 0 6 
d 0 -1 7 
, 4 2 7 
e 0 -1 7 
: 4 3 7 
real 1 20 7 
; 4 0 7 
f 0 -1 8 
, 4 2 8 
g 0 -1 8 
: 4 3 8 
array 1 26 8 
[ 3 6 8 
3 2 3 8 
.. 4 4 8 
24 2 4 8 
+ 3 0 8 
x 0 -1 8 
] 3 7 8 
of 1 16 8 
char 1 3 8 
; 4 0 8 
h 0 -1 9 
, 4 2 9 
i 0 -1 9 
, 4 2 9 
j 0 -1 9 
: 4 3 9 
record 1 27 9 
a 0 -1 10 
, 4 2 10 
b 0 -1 10 
: 4 3 10 
integer 1 13 10 
; 4 0 10 
c 0 -1 11 
: 4 3 11 
real 1 20 11 
; 4 0 11 
end 1 9 12 
; 4 0 12 
k 0 -1 13 
, 4 2 13 
l 0 -1 13 
: 4 3 13 
char 1 3 13 
; 4 0 13 
function 1 11 15 
p2 0 -1 15 
( 3 4 15 
a 0 -1 15 
: 4 3 15 
char 1 3 15 
; 4 0 15 
var 1 24 15 
b 0 -1 15 
[ 3 6 15 
3 2 5 15 
] 3 7 15 
: 4 3 15 
integer 1 13 15 
) 3 5 15 
: 4 3 15 
char 1 3 15 
; 4 0 15 
var 1 24 16 
m 0 -1 16 
, 4 2 16 
n 0 -1 16 
: 4 3 16 
integer 1 13 16 
; 4 0 16 
p 0 -1 17 
: 4 3 17 
real 1 20 17 
; 4 0 17 
begin 1 1 18 
write 1 29 19 
( 3 4 19 
"blocul p2" 5 -2 19 
) 3 5 19 
; 4 0 19 
end 1 9 20 
; 4 0 20 
begin 1 1 22 
write 1 29 23 
( 3 4 23 
"blocul p1" 5 -2 23 
) 3 5 23 
; 4 0 23 
end 1 9 24 
. 4 1 24 

Tabela de constante
 1 23.000000
 1 7.000000
 1 12.000000
 1 3.000000
 1 24.000000
 1 3.000000
